CN2017,,SITC Rev 4
2101 20 92,ex,074.32
2101 20 98,ex,074.32
2101 30 11,ex,071.33
2101 30 19,ex,071.33
2101 30 91,ex,071.33
2101 30 99,ex,071.33
2102 10 10,ex,098.60
2102 10 31,ex,098.60
2102 10 39,ex,098.60
2102 10 90,ex,098.60
2102 20 11,ex,098.60
2102 20 19,ex,098.60
2102 20 90,ex,098.60
2102 30 00,ex,098.60
2103 10 00,-,098.41
2103 20 00,-,098.42
2103 30 10,ex,098.43
2103 30 90,ex,098.43
2103 90 10,ex,098.49
2103 90 30,ex,098.49
2103 90 90,ex,098.49
2104 10 00,-,098.50
2104 20 00,-,098.14
2105 00 10,ex,022.33
2105 00 91,ex,022.33
2105 00 99,ex,022.33
2106 10 20,ex,098.99
2106 10 80,ex,098.99
2106 90 20,ex,098.99
2106 90 30,ex,098.99
2106 90 51,ex,098.99
2106 90 55,ex,098.99
2106 90 59,ex,098.99
2106 90 92,ex,098.99
2106 90 98,ex,098.99
2201 10 11,ex,111.01
2201 10 19,ex,111.01
2201 10 90,ex,111.01
2201 90 00,ex,111.01
2202 10 00,ex,111.02
2202 91 00,ex,111.02
2202 99 11,ex,111.02
2202 99 15,ex,111.02
2202 99 19,ex,111.02
2202 99 91,ex,111.02
2202 99 95,ex,111.02
2202 99 99,ex,111.02
2203 00 01,ex,112.30
2203 00 09,ex,112.30
2203 00 10,ex,112.30
2204 10 11,ex,112.15
2204 10 13,ex,112.15
2204 10 15,ex,112.15
2204 10 91,ex,112.15
2204 10 93,ex,112.15
2204 10 94,ex,112.15
2204 10 96,ex,112.15
2204 10 98,ex,112.15
2204 21 06,ex,112.17
2204 21 07,ex,112.17
2204 21 08,ex,112.17
2204 21 09,ex,112.17
2204 21 11,ex,112.17
2204 21 12,ex,112.17
2204 21 13,ex,112.17
2204 21 17,ex,112.17
2204 21 18,ex,112.17
2204 21 19,ex,112.17
2204 21 22,ex,112.17
2204 21 23,ex,112.17
2204 21 24,ex,112.17
2204 21 26,ex,112.17
2204 21 27,ex,112.17
2204 21 28,ex,112.17
2204 21 31,ex,112.17
2204 21 32,ex,112.17
2204 21 34,ex,112.17
2204 21 36,ex,112.17
2204 21 37,ex,112.17
2204 21 38,ex,112.17
2204 21 42,ex,112.17
2204 21 43,ex,112.17
2204 21 44,ex,112.17
2204 21 46,ex,112.17
2204 21 47,ex,112.17
2204 21 48,ex,112.17
2204 21 61,ex,112.17
2204 21 62,ex,112.17
2204 21 66,ex,112.17
2204 21 67,ex,112.17
2204 21 68,ex,112.17
2204 21 69,ex,112.17
2204 21 71,ex,112.17
2204 21 74,ex,112.17
2204 21 76,ex,112.17
2204 21 77,ex,112.17
2204 21 78,ex,112.17
2204 21 79,ex,112.17
2204 21 80,ex,112.17
2204 21 81,ex,112.17
2204 21 82,ex,112.17
2204 21 83,ex,112.17
2204 21 84,ex,112.17
2204 21 85,ex,112.17
2204 21 86,ex,112.17
2204 21 87,ex,112.17
2204 21 88,ex,112.17
2204 21 89,ex,112.17
2204 21 90,ex,112.17
2204 21 91,ex,112.17
2204 21 93,ex,112.17
2204 21 94,ex,112.17
2204 21 95,ex,112.17
2204 21 96,ex,112.17
2204 21 97,ex,112.17
2204 21 98,ex,112.17
2204 22 10,ex,112.17
2204 22 22,ex,112.17
2204 22 23,ex,112.17
2204 22 24,ex,112.17
2204 22 26,ex,112.17
2204 22 27,ex,112.17
2204 22 28,ex,112.17
2204 22 32,ex,112.17
2204 22 33,ex,112.17
2204 22 38,ex,112.17
2204 22 78,ex,112.17
2204 22 79,ex,112.17
2204 22 80,ex,112.17
2204 22 81,ex,112.17
2204 22 82,ex,112.17
2204 22 83,ex,112.17
2204 22 84,ex,112.17
2204 22 85,ex,112.17
2204 22 86,ex,112.17
2204 22 88,ex,112.17
2204 22 90,ex,112.17
2204 22 91,ex,112.17
2204 22 93,ex,112.17
2204 22 94,ex,112.17
2204 22 95,ex,112.17
2204 22 96,ex,112.17
2204 22 97,ex,112.17
2204 22 98,ex,112.17
2204 29 10,ex,112.17
2204 29 22,ex,112.17
2204 29 23,ex,112.17
2204 29 24,ex,112.17
2204 29 26,ex,112.17
2204 29 27,ex,112.17
2204 29 28,ex,112.17
2204 29 32,ex,112.17
2204 29 38,ex,112.17
2204 29 78,ex,112.17
2204 29 79,ex,112.17
2204 29 80,ex,112.17
2204 29 81,ex,112.17
2204 29 82,ex,112.17
2204 29 83,ex,112.17
2204 29 84,ex,112.17
2204 29 85,ex,112.17
2204 29 86,ex,112.17
2204 29 88,ex,112.17
2204 29 90,ex,112.17
2204 29 91,ex,112.17
2204 29 93,ex,112.17
2204 29 94,ex,112.17
2204 29 95,ex,112.17
2204 29 96,ex,112.17
2204 29 97,ex,112.17
2204 29 98,ex,112.17
2204 30 10,ex,112.11
2204 30 92,ex,112.11
2204 30 94,ex,112.11
2204 30 96,ex,112.11
2204 30 98,ex,112.11
2205 10 10,ex,112.13
2205 10 90,ex,112.13
2205 90 10,ex,112.13
2205 90 90,ex,112.13
2206 00 10,ex,112.20
2206 00 31,ex,112.20
2206 00 39,ex,112.20
2206 00 51,ex,112.20
2206 00 59,ex,112.20
2206 00 81,ex,112.20
2206 00 89,ex,112.20
2207 10 00,-,512.15
2207 20 00,-,512.16
2208 20 12,ex,112.42
2208 20 14,ex,112.42
2208 20 26,ex,112.42
2208 20 27,ex,112.42
2208 20 29,ex,112.42
2208 20 40,ex,112.42
2208 20 62,ex,112.42
2208 20 64,ex,112.42
2208 20 86,ex,112.42
2208 20 87,ex,112.42
2208 20 89,ex,112.42
2208 30 11,ex,112.41
2208 30 19,ex,112.41
2208 30 30,ex,112.41
2208 30 41,ex,112.41
2208 30 49,ex,112.41
2208 30 61,ex,112.41
2208 30 69,ex,112.41
2208 30 71,ex,112.41
2208 30 79,ex,112.41
2208 30 82,ex,112.41
2208 30 88,ex,112.41
2208 40 11,ex,112.44
2208 40 31,ex,112.44
2208 40 39,ex,112.44
2208 40 51,ex,112.44
2208 40 91,ex,112.44
2208 40 99,ex,112.44
2208 50 11,ex,112.45
2208 50 19,ex,112.45
2208 50 91,ex,112.45
2208 50 99,ex,112.45
2208 60 11,ex,112.49
2208 60 19,ex,112.49
2208 60 91,ex,112.49
2208 60 99,ex,112.49
2208 70 10,ex,112.49
2208 70 90,ex,112.49
2208 90 11,ex,112.49
2208 90 19,ex,112.49
2208 90 33,ex,112.49
2208 90 38,ex,112.49
2208 90 41,ex,112.49
2208 90 45,ex,112.49
2208 90 48,ex,112.49
2208 90 54,ex,112.49
2208 90 56,ex,112.49
2208 90 69,ex,112.49
2208 90 71,ex,112.49
2208 90 75,ex,112.49
2208 90 77,ex,112.49
2208 90 78,ex,112.49
2208 90 91,ex,112.49
2208 90 99,ex,112.49
2209 00 11,ex,098.44
2209 00 19,ex,098.44
2209 00 91,ex,098.44
2209 00 99,ex,098.44
2301 10 00,-,081.41
2301 20 00,-,081.42
2302 10 10,ex,081.24
2302 10 90,ex,081.24
2302 30 10,ex,081.26
2302 30 90,ex,081.26
2302 40 02,ex,081.29
2302 40 08,ex,081.29
2302 40 10,ex,081.29
2302 40 90,ex,081.29
2302 50 00,-,081.23
2303 10 11,ex,081.51
2303 10 19,ex,081.51
2303 10 90,ex,081.51
2303 20 10,ex,081.52
2303 20 90,ex,081.52
2303 30 00,-,081.53
2304 00 00,-,081.31
2305 00 00,-,081.32
2306 10 00,-,081.33
2306 20 00,-,081.34
2306 30 00,-,081.35
2306 41 00,ex,081.36
2306 49 00,ex,081.36
2306 50 00,-,081.37
2306 60 00,-,081.38
2306 90 05,ex,081.39
2306 90 11,ex,081.39
2306 90 19,ex,081.39
2306 90 90,ex,081.39
2307 00 11,ex,081.94
2307 00 19,ex,081.94
2307 00 90,ex,081.94
2308 00 11,ex,081.19
2308 00 19,ex,081.19
2308 00 40,ex,081.19
2308 00 90,ex,081.19
2309 10 11,ex,081.95
2309 10 13,ex,081.95
2309 10 15,ex,081.95
2309 10 19,ex,081.95
2309 10 31,ex,081.95
2309 10 33,ex,081.95
2309 10 39,ex,081.95
2309 10 51,ex,081.95
2309 10 53,ex,081.95
2309 10 59,ex,081.95
2309 10 70,ex,081.95
2309 10 90,ex,081.95
2309 90 10,ex,081.99
2309 90 20,ex,081.99
2309 90 31,ex,081.99
2309 90 33,ex,081.99
2309 90 35,ex,081.99
2309 90 39,ex,081.99
2309 90 41,ex,081.99
2309 90 43,ex,081.99
2309 90 49,ex,081.99
2309 90 51,ex,081.99
2309 90 53,ex,081.99
2309 90 59,ex,081.99
2309 90 70,ex,081.99
2309 90 91,ex,081.99
2309 90 96,ex,081.99
2401 10 35,ex,121.10
2401 10 60,ex,121.10
2401 10 70,ex,121.10
2401 10 85,ex,121.10
2401 10 95,ex,121.10
2401 20 35,ex,121.20
2401 20 60,ex,121.20
2401 20 70,ex,121.20
2401 20 85,ex,121.20
2401 20 95,ex,121.20
2401 30 00,-,121.30
2402 10 00,-,122.10
2402 20 10,ex,122.20
2402 20 90,ex,122.20
2402 90 00,-,122.31
2403 11 00,ex,122.32
2403 19 10,ex,122.32
2403 19 90,ex,122.32
2403 91 00,ex,122.39
2403 99 10,ex,122.39
2403 99 90,ex,122.39
2501 00 10,ex,278.30
2501 00 31,ex,278.30
2501 00 51,ex,278.30
2501 00 91,ex,278.30
2501 00 99,ex,278.30
2502 00 00,-,274.20
2503 00 10,ex,274.10
2503 00 90,ex,274.10
2504 10 00,ex,278.22
2504 90 00,ex,278.22
2505 10 00,-,273.31
2505 90 00,-,273.39
2506 10 00,ex,278.51
2506 20 00,ex,278.51
2507 00 20,ex,278.26
2507 00 80,ex,278.26
2508 10 00,-,278.27
2508 30 00,ex,278.29
2508 40 00,ex,278.29
2508 50 00,ex,278.29
2508 60 00,ex,278.29
2508 70 00,ex,278.29
2509 00 00,-,278.91
2510 10 00,-,272.31
2510 20 00,-,272.32
2511 10 00,ex,278.92
2511 20 00,ex,278.92
2512 00 00,-,278.95
2513 10 00,-,277.23
2513 20 00,-,277.22
2514 00 00,-,273.11
2515 11 00,ex,273.12
2515 12 00,ex,273.12
2515 20 00,ex,273.12
2516 11 00,ex,273.13
2516 12 00,ex,273.13
2516 20 00,ex,273.13
2516 90 00,ex,273.13
2517 10 10,ex,273.40
2517 10 20,ex,273.40
2517 10 80,ex,273.40
2517 20 00,ex,273.40
2517 30 00,ex,273.40
2517 41 00,ex,273.40
2517 49 00,ex,273.40
2518 10 00,ex,278.23
2518 20 00,ex,278.23
2518 30 00,ex,278.23
2519 10 00,-,278.24
2519 90 10,ex,278.25
2519 90 30,ex,278.25
2519 90 90,ex,278.25
2520 10 00,-,273.23
2520 20 00,-,273.24
2521 00 00,-,273.22
2522 10 00,-,661.11
2522 20 00,-,661.12
2522 30 00,-,661.13
2523 10 00,-,661.21
2523 21 00,ex,661.22
2523 29 00,ex,661.22
2523 30 00,-,661.23
2523 90 00,-,661.29
2524 10 00,ex,278.40
2524 90 00,ex,278.40
2525 10 00,ex,278.52
2525 20 00,ex,278.52
2525 30 00,ex,278.52
2526 10 00,ex,278.93
2526 20 00,ex,278.93
2528 00 00,-,278.94
2529 10 00,ex,278.53
2529 21 00,ex,278.54
2529 22 00,ex,278.54
2529 30 00,ex,278.53
2530 10 00,-,278.98
2530 20 00,ex,278.99
2530 90 00,ex,278.99
2601 11 00,-,281.50
2601 12 00,-,281.60
2601 20 00,-,281.40
2602 00 00,-,287.70
2603 00 00,-,283.10
2604 00 00,-,284.10
2605 00 00,-,287.93
2606 00 00,-,285.10
2607 00 00,-,287.40
2608 00 00,-,287.50
2609 00 00,-,287.60
2610 00 00,-,287.91
2611 00 00,-,287.92
2612 10 10,ex,286.10
2612 10 90,ex,286.10
2612 20 10,ex,286.20
2612 20 90,ex,286.20
2613 10 00,-,287.81
2613 90 00,-,287.82
2614 00 00,-,287.83
2615 10 00,-,287.84
2615 90 00,-,287.85
2616 10 00,-,289.11
2616 90 00,-,289.19
2617 10 00,ex,287.99
2617 90 00,ex,287.99
2618 00 00,-,278.61
2619 00 20,ex,278.62
2619 00 90,ex,278.62
2620 11 00,ex,288.10
2620 19 00,ex,288.10
2620 21 00,ex,288.10
2620 29 00,ex,288.10
2620 30 00,ex,288.10
2620 40 00,ex,288.10
2620 60 00,ex,288.10
2620 91 00,ex,288.10
2620 99 10,ex,288.10
2620 99 20,ex,288.10
2620 99 40,ex,288.10
2620 99 60,ex,288.10
2620 99 95,ex,288.10
2621 10 00,ex,278.69
2621 90 00,ex,278.69
2701 11 00,-,321.10
2701 12 10,ex,321.21
2701 12 90,ex,321.21
2701 19 00,-,321.22
2701 20 00,-,322.10
2702 10 00,-,322.21
2702 20 00,-,322.22
2703 00 00,-,322.30
2704 00 10,ex,325.00
2704 00 30,ex,325.00
2704 00 90,ex,325.00
2705 00 00,-,345.00
2706 00 00,-,335.21
2707 10 00,-,335.22
2707 20 00,-,335.23
2707 30 00,-,335.24
2707 40 00,ex,335.25
2707 50 00,ex,335.25
2707 91 00,ex,335.25
2707 99 11,ex,335.25
2707 99 19,ex,335.25
2707 99 20,ex,335.25
2707 99 50,ex,335.25
2707 99 80,ex,335.25
2707 99 91,ex,335.25
2707 99 99,ex,335.25
2708 10 00,-,335.31
2708 20 00,-,335.32
2709 00 10,ex,333.00
2709 00 90,ex,333.00
2710 12 11,ex,334.60
2710 12 15,ex,334.60
2710 12 21,ex,334.60
2710 12 25,ex,334.60
2710 12 31,ex,334.60
2710 12 41,ex,334.60
2710 12 45,ex,334.60
2710 12 49,ex,334.60
2710 12 51,ex,334.60
2710 12 59,ex,334.60
2710 12 70,ex,334.60
2710 12 90,ex,334.60
2710 19 11,ex,334.60
2710 19 15,ex,334.60
2710 19 21,ex,334.60
2710 19 25,ex,334.60
2710 19 29,ex,334.60
2710 19 31,ex,334.60
2710 19 35,ex,334.60
2710 19 43,ex,334.60
2710 19 46,ex,334.60
2710 19 47,ex,334.60
2710 19 48,ex,334.60
2710 19 51,ex,334.60
2710 19 55,ex,334.60
2710 19 62,ex,334.60
2710 19 64,ex,334.60
2710 19 68,ex,334.60
2710 19 71,ex,334.60
2710 19 75,ex,334.60
2710 19 81,ex,334.60
2710 19 83,ex,334.60
2710 19 85,ex,334.60
2710 19 87,ex,334.60
2710 19 91,ex,334.60
2710 19 93,ex,334.60
2710 19 99,ex,334.60
2710 20 11,ex,334.60
2710 20 15,ex,334.60
2710 20 17,ex,334.60
2710 20 19,ex,334.60
2710 20 31,ex,334.60
2710 20 35,ex,334.60
2710 20 39,ex,334.60
2710 20 90,ex,334.60
2710 91 00,ex,334.70
2710 99 00,ex,334.70
2711 11 00,-,343.10
2711 12 11,ex,342.10
2711 12 19,ex,342.10
2711 12 91,ex,342.10
2711 12 93,ex,342.10
2711 12 94,ex,342.10
2711 12 97,ex,342.10
2711 13 10,ex,342.50
2711 13 30,ex,342.50
2711 13 91,ex,342.50
2711 13 97,ex,342.50
2711 14 00,-,344.10
2711 19 00,-,344.20
2711 21 00,-,343.20
2711 29 00,-,344.90
2712 10 10,ex,335.11
2712 10 90,ex,335.11
2712 20 10,ex,335.12
2712 20 90,ex,335.12
2712 90 11,ex,335.12
2712 90 19,ex,335.12
2712 90 31,ex,335.12
2712 90 33,ex,335.12
2712 90 39,ex,335.12
2712 90 91,ex,335.12
2712 90 99,ex,335.12
2713 11 00,ex,335.42
2713 12 00,ex,335.42
2713 20 00,ex,335.41
2713 90 10,ex,335.41
2713 90 90,ex,335.41
2714 10 00,-,278.96
2714 90 00,-,278.97
2715 00 00,-,335.43
2716 00 00,-,351.00
2801 10 00,-,522.24
2801 20 00,ex,522.25
2801 30 10,ex,522.25
2801 30 90,ex,522.25
2802 00 00,-,522.26
2803 00 00,-,522.10
2804 10 00,ex,522.21
2804 21 00,ex,522.21
2804 29 10,ex,522.21
2804 29 90,ex,522.21
2804 30 00,ex,522.21
2804 40 00,ex,522.21
2804 50 10,ex,522.22
2804 50 90,ex,522.22
2804 61 00,ex,522.23
2804 69 00,ex,522.23
2804 70 00,ex,522.22
2804 80 00,ex,522.22
2804 90 00,ex,522.22
2805 11 00,-,522.28
2805 12 00,ex,522.29
2805 19 10,ex,522.29
2805 19 90,ex,522.29
2805 30 10,ex,522.29
2805 30 20,ex,522.29
2805 30 30,ex,522.29
2805 30 40,ex,522.29
2805 30 80,ex,522.29
2805 40 10,ex,522.27
2805 40 90,ex,522.27
2806 10 00,ex,522.31
2806 20 00,ex,522.31
2807 00 00,-,522.32
2808 00 00,-,522.33
2809 10 00,ex,522.34
2809 20 00,ex,522.34
2810 00 10,ex,522.35
2810 00 90,ex,522.35
2811 11 00,ex,522.36
2811 12 00,ex,522.36
2811 19 10,ex,522.36
2811 19 80,ex,522.36
2811 21 00,ex,522.39
2811 22 00,-,522.37
2811 29 05,ex,522.39
2811 29 10,ex,522.39
2811 29 30,ex,522.39
2811 29 90,ex,522.39
2812 11 00,ex,522.41
2812 12 00,ex,522.41
2812 13 00,ex,522.41
2812 14 00,ex,522.41
2812 15 00,ex,522.41
2812 16 00,ex,522.41
2812 17 00,ex,522.41
2812 19 10,ex,522.41
2812 19 90,ex,522.41
2812 90 00,ex,522.41
2813 10 00,ex,522.42
2813 90 10,ex,522.42
2813 90 90,ex,522.42
2814 10 00,ex,522.61
2814 20 00,ex,522.61
2815 11 00,-,522.62
2815 12 00,-,522.63
2815 20 00,ex,522.64
2815 30 00,ex,522.64
2816 10 00,ex,522.65
2816 40 00,ex,522.65
2817 00 00,-,522.51
2818 10 11,ex,522.67
2818 10 19,ex,522.67
2818 10 91,ex,522.67
2818 10 99,ex,522.67
2818 20 00,-,285.20
2818 30 00,-,522.66
2819 10 00,ex,522.52
2819 90 10,ex,522.52
2819 90 90,ex,522.52
2820 10 00,ex,522.53
2820 90 10,ex,522.53
2820 90 90,ex,522.53
2821 10 00,ex,522.54
2821 20 00,ex,522.54
2822 00 00,-,522.55
2823 00 00,-,522.56
2824 10 00,ex,522.57
2824 90 00,ex,522.57
2825 10 00,-,522.68
2825 20 00,ex,522.69
2825 30 00,ex,522.69
2825 40 00,ex,522.69
2825 50 00,ex,522.69
2825 60 00,ex,522.69
2825 70 00,ex,522.69
2825 80 00,ex,522.69
2825 90 11,ex,522.69
2825 90 19,ex,522.69
2825 90 20,ex,522.69
2825 90 40,ex,522.69
2825 90 60,ex,522.69
2825 90 85,ex,522.69
2826 12 00,ex,523.10
2826 19 10,ex,523.10
2826 19 90,ex,523.10
2826 30 00,ex,523.10
2826 90 10,ex,523.10
2826 90 80,ex,523.10
2827 10 00,-,523.21
2827 20 00,-,523.22
2827 31 00,ex,523.29
2827 32 00,ex,523.29
2827 35 00,ex,523.29
2827 39 10,ex,523.29
2827 39 20,ex,523.29
2827 39 30,ex,523.29
2827 39 85,ex,523.29
2827 41 00,ex,523.29
2827 49 10,ex,523.29
2827 49 90,ex,523.29
2827 51 00,ex,523.29
2827 59 00,ex,523.29
2827 60 00,ex,523.29
2828 10 00,ex,523.31
2828 90 00,ex,523.31
2829 11 00,-,523.32
2829 19 00,ex,523.39
2829 90 10,ex,523.39
2829 90 40,ex,523.39
2829 90 80,ex,523.39
2830 10 00,-,523.41
2830 90 11,ex,523.42
2830 90 85,ex,523.42
2831 10 00,ex,523.43
2831 90 00,ex,523.43
2832 10 00,ex,523.44
2832 20 00,ex,523.44
2832 30 00,ex,523.44
2833 11 00,ex,523.45
2833 19 00,ex,523.45
2833 21 00,ex,523.49
2833 22 00,ex,523.49
2833 24 00,ex,523.49
2833 25 00,ex,523.49
2833 27 00,ex,523.49
2833 29 20,ex,523.49
2833 29 30,ex,523.49
2833 29 60,ex,523.49
2833 29 80,ex,523.49
2833 30 00,ex,523.49
2833 40 00,ex,523.49
2834 10 00,-,523.51
2834 21 00,-,523.52
2834 29 20,ex,523.59
2834 29 40,ex,523.59
2834 29 80,ex,523.59
2835 10 00,-,523.61
2835 22 00,ex,523.63
2835 24 00,ex,523.63
2835 25 00,ex,523.63
2835 26 00,ex,523.63
2835 29 10,ex,523.63
2835 29 30,ex,523.63
2835 29 90,ex,523.63
2835 31 00,-,523.64
2835 39 00,-,523.65
2836 20 00,-,523.72
2836 30 00,-,523.73
2836 40 00,-,523.74
2836 50 00,ex,523.79
2836 60 00,ex,523.79
2836 91 00,ex,523.79
2836 92 00,ex,523.79
2836 99 11,ex,523.79
2836 99 17,ex,523.79
2836 99 90,ex,523.79
2837 11 00,ex,523.81
2837 19 00,ex,523.81
2837 20 00,ex,523.81
2839 11 00,ex,523.83
2839 19 00,ex,523.83
2839 90 00,ex,523.83
2840 11 00,ex,523.84
2840 19 10,ex,523.84
2840 19 90,ex,523.84
2840 20 10,ex,523.84
2840 20 90,ex,523.84
2840 30 00,ex,523.84
2841 30 00,ex,524.31
2841 50 00,ex,524.31
2841 61 00,ex,524.31
2841 69 00,ex,524.31
2841 70 00,ex,524.31
2841 80 00,ex,524.31
2841 90 30,ex,524.31
2841 90 85,ex,524.31
2842 10 00,ex,523.89
2842 90 10,ex,523.89
2842 90 80,ex,523.89
2843 10 10,ex,524.32
2843 10 90,ex,524.32
2843 21 00,ex,524.32
2843 29 00,ex,524.32
2843 30 00,ex,524.32
2843 90 10,ex,524.32
2843 90 90,ex,524.32
2844 10 10,ex,525.11
2844 10 30,ex,525.11
2844 10 50,ex,525.11
2844 10 90,ex,525.11
2844 20 25,ex,525.13
2844 20 35,ex,525.13
2844 20 51,ex,525.13
2844 20 59,ex,525.13
2844 20 99,ex,525.13
2844 30 11,ex,525.15
2844 30 19,ex,525.15
2844 30 51,ex,525.15
2844 30 55,ex,525.15
2844 30 61,ex,525.15
2844 30 69,ex,525.15
2844 30 91,ex,525.15
2844 30 99,ex,525.15
2844 40 10,ex,525.19
2844 40 20,ex,525.19
2844 40 30,ex,525.19
2844 40 80,ex,525.19
2844 50 00,-,525.17
2845 10 00,ex,525.91
2845 90 10,ex,525.91
2845 90 90,ex,525.91
2846 10 00,ex,525.95
2846 90 10,ex,525.95
2846 90 20,ex,525.95
2846 90 30,ex,525.95
2846 90 90,ex,525.95
2847 00 00,-,524.91
2849 10 00,-,524.93
2849 20 00,ex,524.94
2849 90 10,ex,524.94
2849 90 30,ex,524.94
2849 90 50,ex,524.94
2849 90 90,ex,524.94
2850 00 20,ex,524.95
2850 00 60,ex,524.95
2850 00 90,ex,524.95
2852 10 00,ex,524.96
2852 90 00,ex,524.96
2853 10 00,ex,524.99
2853 90 10,ex,524.99
2853 90 30,ex,524.99
2853 90 90,ex,524.99
2901 10 00,-,511.14
2901 21 00,-,511.11
2901 22 00,-,511.12
2901 23 00,ex,511.13
2901 24 00,ex,511.13
2901 29 00,-,511.19
2902 11 00,-,511.21
2902 19 00,ex,511.29
2902 20 00,-,511.22
2902 30 00,-,511.23
2902 41 00,ex,511.24
2902 42 00,ex,511.24
2902 43 00,ex,511.24
2902 44 00,ex,511.24
2902 50 00,-,511.25
2902 60 00,-,511.26
2902 70 00,-,511.27
2902 90 00,ex,511.29
2903 11 00,ex,511.36
2903 12 00,ex,511.36
2903 13 00,ex,511.36
2903 14 00,ex,511.36
2903 15 00,-,511.35
2903 19 00,ex,511.36
2903 21 00,-,511.31
2903 22 00,-,511.32
2903 23 00,-,511.33
2903 29 00,-,511.34
2903 31 00,ex,511.37
2903 39 11,ex,511.37
2903 39 15,ex,511.37
2903 39 19,ex,511.37
2903 39 21,ex,511.37
2903 39 23,ex,511.37
2903 39 24,ex,511.37
2903 39 25,ex,511.37
2903 39 26,ex,511.37
2903 39 27,ex,511.37
2903 39 28,ex,511.37
2903 39 29,ex,511.37
2903 39 31,ex,511.37
2903 39 35,ex,511.37
2903 39 39,ex,511.37
2903 39 80,ex,511.37
2903 71 00,ex,511.38
2903 72 00,ex,511.38
2903 73 00,ex,511.38
2903 74 00,ex,511.38
2903 75 00,ex,511.38
2903 76 10,ex,511.38
2903 76 20,ex,511.38
2903 76 90,ex,511.38
2903 77 60,ex,511.38
2903 77 90,ex,511.38
2903 78 00,ex,511.38
2903 79 30,ex,511.38
2903 79 80,ex,511.38
2903 81 00,ex,511.39
2903 82 00,ex,511.39
2903 83 00,ex,511.39
2903 89 10,ex,511.39
2903 89 80,ex,511.39
2903 91 00,ex,511.39
2903 92 00,ex,511.39
2903 93 00,ex,511.39
2903 94 00,ex,511.39
2903 99 10,ex,511.39
2903 99 80,ex,511.39
2904 10 00,ex,511.40
2904 20 00,ex,511.40
2904 31 00,ex,511.40
2904 32 00,ex,511.40
2904 33 00,ex,511.40
2904 34 00,ex,511.40
2904 35 00,ex,511.40
2904 36 00,ex,511.40
2904 91 00,ex,511.40
2904 99 00,ex,511.40
2905 11 00,-,512.11
2905 12 00,-,512.12
2905 13 00,ex,512.13
2905 14 10,ex,512.13
2905 14 90,ex,512.13
2905 16 20,ex,512.14
2905 16 85,ex,512.14
2905 17 00,ex,512.19
2905 19 00,ex,512.19
2905 22 00,ex,512.19
2905 29 10,ex,512.19
2905 29 90,ex,512.19
2905 31 00,-,512.21
2905 32 00,ex,512.29
2905 39 20,ex,512.29
2905 39 26,ex,512.29
2905 39 28,ex,512.29
2905 39 30,ex,512.29
2905 39 95,ex,512.29
2905 41 00,ex,512.29
2905 42 00,-,512.23
2905 43 00,-,512.24
2905 44 11,ex,512.25
2905 44 19,ex,512.25
2905 44 91,ex,512.25
2905 44 99,ex,512.25
2905 45 00,ex,512.22
2905 49 00,ex,512.29
2905 51 00,ex,512.29
2905 59 91,ex,512.29
2905 59 98,ex,512.29
2906 11 00,ex,512.31
2906 12 00,ex,512.31
2906 13 10,ex,512.31
2906 13 90,ex,512.31
2906 19 00,ex,512.31
2906 21 00,ex,512.35
2906 29 00,ex,512.35
2907 11 00,-,512.41
2907 12 00,-,512.42
2907 13 00,ex,512.43
2907 15 10,ex,512.43
2907 15 90,ex,512.43
2907 19 10,ex,512.43
2907 19 90,ex,512.43
2907 21 00,ex,512.43
2907 22 00,ex,512.43
2907 23 00,ex,512.43
2907 29 00,ex,512.43
2908 11 00,ex,512.44
2908 19 00,ex,512.44
2908 91 00,ex,512.44
2908 92 00,ex,512.44
2908 99 00,ex,512.44
2909 11 00,ex,516.16
2909 19 10,ex,516.16
2909 19 90,ex,516.16
2909 20 00,ex,516.16
2909 30 10,ex,516.16
2909 30 31,ex,516.16
2909 30 35,ex,516.16
2909 30 38,ex,516.16
2909 30 90,ex,516.16
2909 41 00,ex,516.17
2909 43 00,ex,516.17
2909 44 00,ex,516.17
2909 49 11,ex,516.17
2909 49 80,ex,516.17
2909 50 00,ex,516.17
2909 60 00,ex,516.17
2910 10 00,-,516.13
2910 20 00,-,516.14
2910 30 00,ex,516.15
2910 40 00,ex,516.15
2910 50 00,ex,516.15
2910 90 00,ex,516.15
2911 00 00,-,516.12
2912 11 00,ex,516.21
2912 12 00,ex,516.21
2912 19 00,ex,516.21
2912 21 00,ex,516.22
2912 29 00,ex,516.22
2912 41 00,ex,516.22
2912 42 00,ex,516.22
2912 49 00,ex,516.22
2912 50 00,ex,516.22
2912 60 00,ex,516.22
2913 00 00,-,516.26
2914 11 00,-,516.23
2914 12 00,-,516.24
2914 13 00,ex,516.25
2914 19 10,ex,516.25
2914 19 90,ex,516.25
2914 22 00,ex,516.28
2914 23 00,ex,516.28
2914 29 00,ex,516.28
2914 31 00,ex,516.29
2914 39 00,ex,516.29
2914 40 10,ex,516.29
2914 40 90,ex,516.29
2914 50 00,ex,516.29
2914 61 00,ex,516.29
2914 62 00,ex,516.29
2914 69 10,ex,516.29
2914 69 80,ex,516.29
2914 71 00,ex,516.29
2914 79 00,ex,516.29
2915 11 00,ex,513.74
2915 12 00,ex,513.74
2915 13 00,ex,513.74
2915 21 00,ex,513.71
2915 24 00,ex,513.77
2915 29 00,ex,513.71
