HS 2007,CPA 2008
2933.53,21.10.31
2933.54,21.10.31
2933.55,21.10.31
2933.59,21.10.31
2933.61,20.14.52
2933.69,21.10.31
2933.71,20.14.52
2933.72,20.14.52
2933.79,20.14.52
2933.91,20.14.52
2933.99,20.14.52
2934.1,20.14.52
2934.2,20.14.52
2934.3,21.10.31
2934.91,20.14.52
2934.99,20.14.52
2935,21.10.32
2936.21,21.10.51
2936.22,21.10.51
2936.23,21.10.51
2936.24,21.10.51
2936.25,21.10.51
2936.26,21.10.51
2936.27,21.10.51
2936.28,21.10.51
2936.29,21.10.51
2936.9,21.10.51
2937.11,21.10.52
2937.12,21.10.52
2937.19,21.10.52
2937.21,21.10.52
2937.22,21.10.52
2937.23,21.10.52
2937.29,21.10.52
2937.31,21.10.52
2937.39,21.10.52
2937.4,21.10.52
2937.5,21.10.52
2937.9,21.10.52
2938.1,21.10.53
2938.9,21.10.53
2939.11,21.10.53
2939.19,21.10.53
2939.2,21.10.53
2939.3,21.10.53
2939.41,21.10.53
2939.42,21.10.53
2939.43,21.10.53
2939.49,21.10.53
2939.51,21.10.53
2939.59,21.10.53
2939.61,21.10.53
2939.62,21.10.53
2939.63,21.10.53
2939.69,21.10.53
2939.91,21.10.53
2939.99,21.10.53
2940,21.10.40
2941.1,21.10.54
2941.2,21.10.54
2941.3,21.10.54
2941.4,21.10.54
2941.5,21.10.54
2941.9,21.10.54
2942,20.14.64
3001.2,21.10.60
3001.9,21.10.60
3002.1,21.20.21
3002.2,21.20.21
3002.3,21.20.21
3002.9,21.10.60
3003.1,21.20.11
3003.2,21.20.11
3003.31,21.20.12
3003.39,21.20.12
3003.4,21.20.13
3003.9,21.20.13
3004.1,21.20.11
3004.2,21.20.11
3004.31,21.20.12
3004.32,21.20.12
3004.39,21.20.12
3004.4,21.20.13
3004.5,21.20.13
3004.9,21.20.13
3005.1,21.20.24
3005.9,21.20.24
3006.1,21.20.24
3006.1,32.50.50
3006.2,21.20.23
3006.3,21.20.23
3006.4,32.50.50
3006.5,21.20.24
3006.6,21.20.22
3006.7,32.50.50
3006.91,22.29.29
3006.92,38.12.22
3101,20.15.80
3102.1,20.15.31
3102.21,20.15.32
3102.29,20.15.39
3102.3,20.15.33
3102.4,20.15.35
3102.5,20.15.60
3102.6,20.15.34
3102.8,20.15.39
3102.9,20.15.39
3103.1,20.15.41
3103.9,20.15.49
3104.2,20.15.51
3104.3,20.15.52
3104.9,20.15.59
3105.1,20.15.79
3105.2,20.15.71
3105.3,20.15.72
3105.4,20.15.73
3105.51,20.15.74
3105.59,20.15.74
3105.6,20.15.75
3105.9,20.15.79
3201.1,20.12.22
3201.2,20.12.22
3201.9,20.12.22
3202.1,20.12.23
3202.9,20.12.23
3203,20.12.22
3204.11,20.12.21
3204.12,20.12.21
3204.13,20.12.21
3204.14,20.12.21
3204.15,20.12.21
3204.16,20.12.21
3204.17,20.12.21
3204.19,20.12.21
3204.2,20.12.21
3204.9,20.12.21
3205,20.12.21
3206.11,20.12.24
3206.19,20.12.24
3206.2,20.12.24
3206.41,20.12.24
3206.42,20.12.24
3206.49,20.12.24
3206.5,20.12.24
3207.1,20.30.21
3207.2,20.30.21
3207.3,20.30.21
3207.4,20.30.21
3208.1,20.30.12
3208.2,20.30.12
3208.9,20.30.12
3209.1,20.30.11
3209.9,20.30.11
3210,20.30.22
3211,20.30.22
3212.1,20.30.22
3212.9,20.30.22
3213.1,20.30.23
3213.9,20.30.23
3214.1,20.30.22
3214.9,20.30.22
3215.11,20.30.24
3215.19,20.30.24
3215.9,20.59.30
3301.12,20.53.10
3301.13,20.53.10
3301.19,20.53.10
3301.24,20.53.10
3301.25,20.53.10
3301.29,20.53.10
3301.3,20.53.10
3301.9,20.53.10
3302.1,20.53.10
3302.9,20.53.10
3303,20.42.11
3304.1,20.42.12
3304.2,20.42.12
3304.3,20.42.13
3304.91,20.42.14
3304.99,20.42.15
3305.1,20.42.16
3305.2,20.42.16
3305.3,20.42.16
3305.9,20.42.17
3306.1,20.42.18
3306.2,20.42.18
3306.9,20.42.18
3307.1,20.42.19
3307.2,20.42.19
3307.3,20.42.19
3307.41,20.41.41
3307.49,20.41.41
3307.9,20.42.19
3401.11,20.42.19
3401.19,20.41.31
3401.2,20.41.31
3401.3,20.42.19
3402.11,20.41.20
3402.12,20.41.20
3402.13,20.41.20
3402.19,20.41.20
3402.2,20.41.32
3402.9,20.41.32
3403.11,20.59.41
3403.19,20.59.41
3403.91,20.59.41
3403.99,20.59.41
3404.2,20.41.42
3404.9,20.41.42
3405.1,20.41.43
3405.2,20.41.43
3405.3,20.41.43
3405.4,20.41.44
3405.9,20.41.43
3406,32.99.54
3407,20.59.52
3501.1,10.51.53
3501.9,20.52.10
3501.9,20.59.60
3502.11,10.89.12
3502.19,10.89.12
3502.2,20.59.60
3502.9,20.59.60
3503,20.52.10
3503,20.59.60
3504,20.59.51
3505.1,10.62.11
3505.2,20.52.10
3506.1,20.52.10
3506.91,20.52.10
3506.99,20.52.10
3507.1,20.14.64
3507.9,20.14.64
3601,20.51.11
3602,20.51.11
3603,20.51.12
3604.1,20.51.13
3604.9,20.51.14
3605,20.51.20
3606.1,32.99.43
3606.9,32.99.42
3701.1,20.59.11
3701.2,20.59.11
3701.3,20.59.11
3701.91,20.59.11
3701.99,20.59.11
3702.1,20.59.11
3702.31,20.59.11
3702.32,20.59.11
3702.39,20.59.11
3702.41,20.59.11
3702.42,20.59.11
3702.43,20.59.11
3702.44,20.59.11
3702.51,20.59.11
3702.52,20.59.11
3702.53,20.59.11
3702.54,20.59.11
3702.55,20.59.11
3702.56,20.59.11
3702.91,20.59.11
3702.93,20.59.11
3702.94,20.59.11
3702.95,20.59.11
3703.1,20.59.11
3703.2,20.59.11
3703.9,20.59.11
3704,74.20.11
3705.1,74.20.12
3706.1,59.11.22
3706.9,59.11.22
3707.1,20.59.12
3707.9,20.59.12
3801.1,23.99.14
3801.2,23.99.14
3801.3,23.99.14
3801.9,23.99.14
3802.1,20.59.54
3802.9,20.14.71
3803,20.14.71
3804,20.14.80
3805.1,20.14.71
3806.1,20.14.71
3806.2,20.14.71
3806.3,20.14.71
3806.9,20.14.71
3807,20.14.71
3808.5,20.20.19
3808.91,20.20.11
3808.92,20.20.15
3808.93,20.20.12
3808.93,20.20.13
3808.94,20.20.14
3808.99,20.20.19
3809.1,20.59.55
3809.91,20.59.55
3809.92,20.59.55
3809.93,20.59.55
3810.1,20.59.56
3810.9,20.59.56
3811.11,20.59.42
3811.19,20.59.42
3811.21,20.59.42
3811.29,20.59.42
3811.9,20.59.42
3812.1,20.59.56
3812.2,20.59.56
3812.3,20.59.56
3813,20.59.52
3814,20.30.22
3815.11,20.59.56
3815.12,20.59.56
3815.19,20.59.56
3815.9,20.59.56
3816,23.20.13
3817,20.59.56
3818,20.59.53
3819,20.59.43
3820,20.59.43
3821,20.59.52
3822,20.59.52
3823.11,20.14.31
3823.12,20.14.31
3823.13,20.14.31
3823.19,20.14.31
3823.7,20.14.21
3824.1,20.59.57
3824.3,20.59.57
3824.4,20.59.57
3824.5,23.63.10
3824.5,23.64.10
3824.6,20.59.57
3824.71,20.59.59
3824.72,20.59.59
3824.73,20.59.59
3824.74,20.59.59
3824.75,20.59.59
3824.76,20.59.59
3824.77,20.59.59
3824.78,20.59.59
3824.79,20.59.59
3824.81,20.59.59
3824.82,20.59.59
3824.83,20.59.59
3824.9,20.59.57
3824.9,20.59.59
3825.1,38.11.31
3825.2,37.00.20
3825.3,38.12.23
3825.41,38.21.30
3825.49,38.21.30
3825.5,38.12.24
3825.61,38.12.24
3825.69,38.12.24
3825.9,38.12.29
3901.1,20.16.10
3901.2,20.16.10
3901.3,20.16.10
3901.9,20.16.10
3902.1,20.16.51
3902.2,20.16.51
3902.3,20.16.51
3902.9,20.16.51
3903.11,20.16.20
3903.19,20.16.20
3903.2,20.16.20
3903.3,20.16.20
3903.9,20.16.20
3904.1,20.16.30
3904.21,20.16.30
3904.22,20.16.30
3904.3,20.16.30
3904.4,20.16.30
3904.5,20.16.30
3904.61,20.16.30
3904.69,20.16.30
3904.9,20.16.30
3905.12,20.16.52
3905.19,20.16.52
3905.21,20.16.52
3905.29,20.16.52
3905.3,20.16.52
3905.91,20.16.52
3905.99,20.16.52
3906.1,20.16.53
3906.9,20.16.53
3907.1,20.16.40
3907.2,20.16.40
3907.3,20.16.40
3907.4,20.16.40
3907.5,20.16.40
3907.6,20.16.40
3907.7,20.16.40
3907.91,20.16.40
3907.99,20.16.40
3908.1,20.16.54
3908.9,20.16.54
3909.1,20.16.55
3909.2,20.16.55
3909.3,20.16.56
3909.4,20.16.56
3909.5,20.16.56
3910,20.16.57
3911.1,20.16.59
3911.9,20.16.59
3912.11,20.16.59
3912.12,20.16.59
3912.2,20.16.59
3912.31,20.16.59
3912.39,20.16.59
3912.9,20.16.59
3913.1,20.16.59
3913.9,20.16.59
3914,20.16.59
3915.1,38.11.55
3915.2,38.11.55
3915.3,38.11.55
3915.9,38.11.55
3916.1,22.21.10
3916.2,22.21.10
3916.9,22.21.10
3917.1,22.21.21
3917.21,22.21.21
3917.22,22.21.21
3917.23,22.21.21
3917.29,22.21.21
3917.31,22.21.29
3917.32,22.21.29
3917.33,22.21.29
3917.39,22.21.29
3917.4,22.21.29
3918.1,22.23.11
3918.9,22.23.11
3919.1,22.29.21
3919.9,22.29.22
3920.1,22.21.30
3920.2,22.21.30
3920.3,22.21.30
3920.43,22.21.30
3920.49,22.21.30
3920.51,22.21.30
3920.59,22.21.30
3920.61,22.21.30
3920.62,22.21.30
3920.63,22.21.30
3920.69,22.21.30
3920.71,22.21.30
3920.73,22.21.30
3920.79,22.21.30
3920.91,22.21.30
3920.92,22.21.30
3920.93,22.21.30
3920.94,22.21.30
3920.99,22.21.30
3921.11,22.21.41
3921.12,22.21.41
3921.13,22.21.41
3921.14,22.21.41
3921.19,22.21.41
3921.9,22.21.42
3922.1,22.23.12
3922.2,22.23.12
3922.9,22.23.12
3923.1,22.22.13
3923.21,22.22.11
3923.29,22.22.12
3923.3,22.22.14
3923.4,22.22.19
3923.5,22.22.19
3923.9,22.22.19
3924.1,22.29.23
3924.9,22.29.23
3925.1,22.23.13
3925.2,22.23.14
3925.3,22.23.14
3925.9,22.23.19
3925.9,27.33.14
3926.1,22.29.25
3926.2,22.29.10
3926.3,22.29.26
3926.4,22.29.26
3926.9,22.29.26
3926.9,22.29.29
4001.1,01.29.10
4001.21,01.29.10
4001.22,01.29.10
4001.29,01.29.10
4001.3,02.30.11
4002.11,20.17.10
4002.19,20.17.10
4002.2,20.17.10
4002.31,20.17.10
4002.39,20.17.10
4002.41,20.17.10
4002.49,20.17.10
4002.51,20.17.10
4002.59,20.17.10
4002.6,20.17.10
4002.7,20.17.10
4002.8,20.17.10
4002.91,20.17.10
4002.99,20.17.10
4003,22.19.10
4004,38.11.54
4005.1,22.19.20
4005.2,22.19.20
4005.91,22.19.20
4005.99,22.19.20
4006.1,22.11.16
4006.9,22.19.20
4007,22.19.20
4008.11,22.19.20
4008.19,22.19.20
4008.21,22.19.20
4008.29,22.19.20
4009.11,22.19.30
4009.12,22.19.30
4009.21,22.19.30
4009.22,22.19.30
4009.31,22.19.30
4009.32,22.19.30
4009.41,22.19.30
4009.42,22.19.30
4010.11,22.19.40
4010.12,22.19.40
4010.19,22.19.40
4010.31,22.19.40
4010.32,22.19.40
4010.33,22.19.40
4010.34,22.19.40
4010.35,22.19.40
4010.36,22.19.40
4010.39,22.19.40
4011.1,22.11.11
4011.2,22.11.13
4011.3,22.11.13
4011.4,22.11.12
4011.5,22.11.12
4011.61,22.11.14
4011.62,22.11.14
4011.63,22.11.14
4011.69,22.11.14
4011.92,22.11.14
4011.93,22.11.14
4011.94,22.11.14
4011.99,22.11.14
4012.11,22.11.20
4012.12,22.11.20
4012.13,22.11.20
4012.19,22.11.20
4012.2,38.11.53
4012.9,22.11.15
4013.1,22.11.15
4013.2,22.11.15
4013.9,22.11.15
4014.1,22.19.71
4014.9,22.19.71
4015.11,22.19.60
4015.19,22.19.60
4015.9,22.19.60
4016.1,22.19.73
4016.91,22.19.72
4016.92,22.19.73
4016.93,22.19.73
4016.94,22.19.73
4016.95,22.19.73
4016.99,22.19.73
4017,22.19.73
4101.2,10.11.42
4101.5,10.11.42
4101.9,10.11.43
4102.1,10.11.44
4102.21,10.11.44
4102.29,10.11.44
4103.2,01.49.39
4103.3,01.49.39
4103.9,01.49.39
4103.9,10.11.45
4104.11,15.11.31
4104.11,15.11.32
4104.11,15.11.33
4104.19,15.11.31
4104.19,15.11.32
4104.19,15.11.33
4104.41,15.11.31
4104.41,15.11.32
4104.41,15.11.33
4104.49,15.11.31
4104.49,15.11.32
4104.49,15.11.33
4105.1,15.11.41
4105.3,15.11.41
4106.21,15.11.42
4106.22,15.11.42
4106.31,15.11.43
4106.32,15.11.43
4106.4,15.11.51
4106.91,15.11.51
4106.92,15.11.51
4107.11,15.11.31
4107.11,15.11.33
4107.12,15.11.31
4107.12,15.11.33
4107.19,15.11.31
4107.19,15.11.33
4107.91,15.11.32
4107.92,15.11.32
4107.92,15.11.33
4107.99,15.11.32
4107.99,15.11.33
4112,15.11.41
4113.1,15.11.42
4113.2,15.11.43
4113.3,15.11.51
4113.9,15.11.51
4114.1,15.11.21
4114.2,15.11.22
4115.1,15.11.52
4115.2,38.11.57
4201,15.12.11
4202.11,15.12.12
4202.12,15.12.12
4202.19,15.12.12
4202.21,15.12.12
4202.22,15.12.12
4202.29,15.12.12
4202.31,15.12.12
4202.32,15.12.12
4202.39,15.12.12
4202.91,15.12.12
4202.92,15.12.12
4202.99,15.12.12
4203.1,14.11.10
4203.21,32.30.15
4203.29,14.19.31
4203.29,32.99.11
4203.3,14.19.31
4203.4,14.19.31
4205,15.12.19
4206,32.99.59
4301.1,01.49.31
4301.3,01.49.32
4301.6,01.49.31
4301.8,01.49.31
4301.9,01.49.31
4302.11,15.11.10
4302.19,15.11.10
4302.2,15.11.10
4302.3,15.11.10
4303.1,14.20.10
4303.9,14.20.10
4304,13.91.19
4401.1,02.20.14
4401.21,16.10.23
4401.22,16.10.23
4401.3,38.11.59
4402.1,20.14.72
4402.9,20.14.72
4403.1,16.10.31
4403.2,02.20.11
4403.41,02.20.13
4403.49,02.20.13
4403.91,02.20.12
4403.92,02.20.12
4403.99,02.20.12
4404.1,16.10.39
4404.2,16.10.39
4405,16.10.22
4406.1,16.10.10
4406.9,16.10.32
4407.1,16.10.10
4407.21,16.10.10
4407.22,16.10.10
4407.25,16.10.10
4407.26,16.10.10
4407.27,16.10.10
4407.28,16.10.10
4407.29,16.10.10
4407.91,16.10.10
4407.92,16.10.10
4407.93,16.10.10
4407.94,16.10.10
4407.95,16.10.10
4407.99,16.10.10
4408.1,16.21.21
4408.31,16.21.21
4408.39,16.21.21
4408.9,16.21.21
4409.1,16.10.21
4409.21,16.10.21
4409.29,16.10.21
4410.11,16.21.13
4410.12,16.21.13
4410.19,16.21.13
4410.9,16.21.13
4411.12,16.21.14
4411.13,16.21.14
4411.14,16.21.14
4411.92,16.21.14
4411.93,16.21.14
4411.94,16.21.14
4412.1,16.21.11
4412.31,16.21.12
4412.32,16.21.12
4412.39,16.21.12
4412.94,16.21.12
4412.99,16.21.12
4413,16.21.22
4414,16.29.14
4415.1,16.24.13
4415.2,16.24.11
4416,16.24.12
4417,16.29.11
4418.1,16.23.11
4418.2,16.23.11
4418.4,16.23.12
4418.5,16.23.12
4418.6,16.23.19
4418.71,16.22.10
4418.72,16.22.10
4418.79,16.22.10
4418.9,16.23.19
4419,16.29.12
4420.1,16.29.13
4420.9,16.29.13
4421.1,16.29.14
4421.9,16.29.14
4501.1,02.30.20
4501.9,16.29.21
4502,16.29.21
4503.1,16.29.22
4503.9,16.29.22
4504.1,16.29.23
4504.9,16.29.24
4601.21,16.29.25
4601.22,16.29.25
4601.29,16.29.25
4601.92,16.29.25
4601.93,16.29.25
4601.94,16.29.25
4601.99,16.29.25
4602.11,16.29.25
4602.12,16.29.25
4602.19,16.29.25
4602.9,16.29.25
4701,17.11.14
4702,17.11.11
4703.11,17.11.12
4703.19,17.11.12
4703.21,17.11.12
4703.29,17.11.12
4704.11,17.11.13
4704.19,17.11.13
4704.21,17.11.13
4704.29,17.11.13
4705,17.11.14
4706.1,17.11.14
4706.2,17.11.14
4706.3,17.11.14
4706.91,17.11.14
4706.92,17.11.14
4706.93,17.11.14
4707.1,38.11.52
4707.2,38.11.52
4707.3,38.11.52
4707.9,38.11.52
4801,17.12.11
4802.1,17.12.12
4802.2,17.12.13
4802.4,17.12.13
4802.54,17.12.14
4802.55,17.12.14
4802.56,17.12.14
4802.57,17.12.14
4802.58,17.12.14
4802.61,17.12.14
4802.62,17.12.14
4802.69,17.12.14
4803,17.12.20
4804.11,17.12.31
4804.19,17.12.32
4804.21,17.12.41
4804.29,17.12.41
4804.31,17.12.41
4804.39,17.12.41
4804.41,17.12.59
4804.42,17.12.51
4804.42,17.12.59
4804.49,17.12.51
4804.49,17.12.59
4804.51,17.12.51
4804.51,17.12.59
4804.52,17.12.51
4804.52,17.12.59
4804.59,17.12.51
4804.59,17.12.59
4805.11,17.12.33
4805.12,17.12.34
4805.19,17.12.34
4805.24,17.12.35
4805.25,17.12.35
4805.3,17.12.42
4805.4,17.12.43
4805.5,17.12.43
4805.91,17.12.42
4805.92,17.12.42
4805.93,17.12.42
4806.1,17.12.60
4806.2,17.12.60
4806.3,17.12.60
4806.4,17.12.60
4807,17.12.71
4808.1,17.21.11
4808.2,17.12.41
4808.3,17.12.72
4808.9,17.12.72
4809.2,17.12.76
4809.9,17.12.76
4810.13,17.12.73
4810.14,17.12.73
4810.19,17.12.73
4810.22,17.12.73
4810.29,17.12.73
4810.31,17.12.74
4810.32,17.12.75
4810.39,17.12.78
4810.92,17.12.78
4810.92,17.12.79
4810.99,17.12.79
4811.1,17.12.77
4811.41,17.12.77
4811.49,17.12.77
4811.51,17.12.77
4811.59,17.12.77
4811.6,17.12.77
4811.9,17.12.77
4812,17.29.12
4813.1,17.29.19
4813.2,17.29.19
4813.9,17.12.44
4814.1,17.24.11
4814.2,17.24.11
4814.9,17.24.11
4816.2,17.23.11
4816.9,17.23.11
4817.1,17.23.12
4817.2,17.23.12
4817.3,17.23.12
4818.1,17.22.11
4818.2,17.22.11
4818.3,17.22.11
4818.4,17.22.12
4818.5,17.22.12
4818.9,17.22.12
4819.1,17.21.13
4819.2,17.21.14
4819.3,17.21.12
4819.4,17.21.12
4819.5,17.21.15
4819.6,17.21.15
4820.1,17.23.13
4820.2,17.23.13
4820.3,17.23.13
4820.4,17.23.13
4820.5,17.23.13
4820.9,17.23.13
4821.1,17.29.11
4821.9,17.29.11
4822.1,17.29.19
4822.9,17.29.19
4823.2,17.29.19
4823.4,17.29.19
4823.61,17.22.13
4823.69,17.22.13
4823.7,17.29.19
4823.9,17.23.14
4823.9,17.29.19
4901.1,58.11.19
4901.91,58.11.14
4901.99,58.11.19
4902.1,58.13.10
4902.9,58.14.11
4903,58.11.13
4904,59.20.31
4905.1,32.99.59
4905.91,58.11.15
4905.99,58.11.16
4906,71.11.10
4907,58.19.14
4908.1,58.19.13
4908.9,58.19.13
4909,58.19.11
4910,58.19.13
4911.1,58.19.15
4911.91,58.19.12
4911.99,58.19.19
5001,01.49.25
5002,13.10.21
5003,38.11.56
5004,13.10.40
5005,13.10.40
5006,13.10.40
5007.1,13.20.11
5007.2,13.20.11
5007.9,13.20.11
5101.11,01.45.30
5101.19,10.11.41
5101.21,13.10.22
5101.29,13.10.22
5101.3,13.10.22
5102.11,01.49.28
5102.19,01.49.28
5102.2,01.49.28
5103.1,13.10.23
5103.2,38.11.56
5103.3,38.11.56
5104,13.10.91
5105.1,13.10.24
5105.21,13.10.24
5105.29,13.10.24
5105.31,13.10.24
5105.39,13.10.24
5105.4,13.10.24
5106.1,13.10.50
5106.2,13.10.50
5107.1,13.10.50
5107.2,13.10.50
5108.1,13.10.50
5108.2,13.10.50
5109.1,13.10.50
5109.9,13.10.50
5110,13.10.50
5111.11,13.20.12
5111.19,13.20.12
5111.2,13.20.12
5111.3,13.20.12
5111.9,13.20.12
5112.11,13.20.12
5112.19,13.20.12
5112.2,13.20.12
5112.3,13.20.12
5112.9,13.20.12
5113,13.20.12
5201,01.16.11
5202.1,38.11.56
5202.91,13.10.92
5202.99,13.10.92
5203,13.10.25
5204.11,13.10.62
5204.19,13.10.62
5204.2,13.10.62
5205.11,13.10.61
5205.12,13.10.61
5205.13,13.10.61
5205.14,13.10.61
5205.15,13.10.61
5205.21,13.10.61
5205.22,13.10.61
5205.23,13.10.61
5205.24,13.10.61
5205.26,13.10.61
5205.27,13.10.61
5205.28,13.10.61
5205.31,13.10.61
5205.32,13.10.61
5205.33,13.10.61
5205.34,13.10.61
5205.35,13.10.61
5205.41,13.10.61
5205.42,13.10.61
5205.43,13.10.61
5205.44,13.10.61
5205.46,13.10.61
5205.47,13.10.61
5205.48,13.10.61
5206.11,13.10.61
5206.12,13.10.61
5206.13,13.10.61
5206.14,13.10.61
5206.15,13.10.61
5206.21,13.10.61
5206.22,13.10.61
5206.23,13.10.61
5206.24,13.10.61
5206.25,13.10.61
5206.31,13.10.61
5206.32,13.10.61
5206.33,13.10.61
5206.34,13.10.61
5206.35,13.10.61
5206.41,13.10.61
5206.42,13.10.61
5206.43,13.10.61
5206.44,13.10.61
5206.45,13.10.61
5207.1,13.10.61
5207.9,13.10.61
5208.11,13.20.20
5208.12,13.20.20
5208.13,13.20.20
5208.19,13.20.20
5208.21,13.20.20
5208.22,13.20.20
5208.23,13.20.20
5208.29,13.20.20
5208.31,13.20.20
5208.32,13.20.20
5208.33,13.20.20
5208.39,13.20.20
5208.41,13.20.20
5208.42,13.20.20
5208.43,13.20.20
5208.49,13.20.20
5208.51,13.20.20
5208.52,13.20.20
5208.59,13.20.20
5209.11,13.20.20
5209.12,13.20.20
5209.19,13.20.20
5209.21,13.20.20
5209.22,13.20.20
5209.29,13.20.20
5209.31,13.20.20
5209.32,13.20.20
5209.39,13.20.20
5209.41,13.20.20
5209.42,13.20.20
5209.43,13.20.20
5209.49,13.20.20
5209.51,13.20.20
5209.52,13.20.20
5209.59,13.20.20
5210.11,13.20.20
5210.19,13.20.20
5210.21,13.20.20
5210.29,13.20.20
5210.31,13.20.20
5210.32,13.20.20
5210.39,13.20.20
5210.41,13.20.20
5210.49,13.20.20
5210.51,13.20.20
5210.59,13.20.20
5211.11,13.20.20
5211.12,13.20.20
5211.19,13.20.20
5211.2,13.20.20
5211.31,13.20.20
5211.32,13.20.20
5211.39,13.20.20
5211.41,13.20.20
5211.42,13.20.20
5211.43,13.20.20
5211.49,13.20.20
5211.51,13.20.20
5211.52,13.20.20
5211.59,13.20.20
5212.11,13.20.20
5212.12,13.20.20
5212.13,13.20.20
5212.14,13.20.20
5212.15,13.20.20
5212.21,13.20.20
5212.22,13.20.20
5212.23,13.20.20
5212.24,13.20.20
5212.25,13.20.20
5301.1,01.16.19
5301.21,13.10.29
5301.29,13.10.29
5301.3,13.10.29
5302.1,01.16.19
5302.9,13.10.29
5303.1,01.16.12
5303.9,13.10.26
5306.1,13.10.71
5306.2,13.10.71
5307.1,13.10.72
5307.2,13.10.72
5308.1,13.10.72
5308.2,13.10.72
5308.9,13.10.72
5309.11,13.20.13
5309.19,13.20.13
5309.21,13.20.13
5309.29,13.20.13
5310.1,13.20.14
5310.9,13.20.14
5311,13.20.19
5401.1,13.10.85
5401.2,13.10.85
5402.19,20.60.12
5402.2,20.60.12
5402.31,20.60.13
5402.32,20.60.13
5402.33,20.60.13
5402.34,20.60.13
5402.39,20.60.13
5402.44,20.60.13
5402.45,20.60.13
5402.46,20.60.13
5402.47,20.60.13
5402.48,20.60.13
5402.49,20.60.13
5402.51,20.60.13
5402.52,20.60.13
5402.59,20.60.13
5402.61,13.10.81
5402.62,13.10.81
5402.69,13.10.81
5403.1,20.60.22
5403.31,20.60.23
5403.32,20.60.23
5403.33,20.60.23
5403.39,20.60.23
5403.41,13.10.81
5403.42,13.10.81
5403.49,13.10.81
5404.11,20.60.14
5404.12,20.60.14
5404.19,20.60.14
5404.9,20.60.14
5405,20.60.24
5406,13.10.81
5407.1,13.20.31
5407.2,13.20.31
5407.3,13.20.31
5407.41,13.20.31
5407.42,13.20.31
5407.43,13.20.31
5407.44,13.20.31
5407.51,13.20.31
5407.52,13.20.31
5407.53,13.20.31
5407.54,13.20.31
5407.61,13.20.31
5407.69,13.20.31
5407.71,13.20.31
5407.72,13.20.31
5407.73,13.20.31
5407.74,13.20.31
5407.81,13.20.31
5407.82,13.20.31
5407.83,13.20.31
5407.84,13.20.31
5407.91,13.20.31
5407.92,13.20.31
5407.93,13.20.31
5407.94,13.20.31
5408.1,13.20.31
5408.21,13.20.31
5408.22,13.20.31
5408.23,13.20.31
5408.24,13.20.31
5408.31,13.20.31
5408.32,13.20.31
5408.33,13.20.31
5408.34,13.20.31
5501.1,20.60.11
5501.2,20.60.11
5501.3,20.60.11
5501.4,20.60.11
5501.9,20.60.11
5502,20.60.21
5503.11,20.60.11
5503.19,20.60.11
5503.4,20.60.11
5503.9,20.60.11
5504.1,20.60.21
5504.9,20.60.21
5505.1,38.11.56
5505.2,38.11.56
5506.1,13.10.31
5506.2,13.10.31
5506.3,13.10.31
5506.9,13.10.31
5507,13.10.32
5508.1,13.10.85
5508.2,13.10.85
5509.11,13.10.82
5509.12,13.10.82
5509.21,13.10.82
5509.22,13.10.82
5509.31,13.10.82
5509.32,13.10.82
5509.41,13.10.82
5509.42,13.10.82
5509.51,13.10.83
5509.52,13.10.83
5509.53,13.10.83
5509.59,13.10.83
5509.61,13.10.83
5509.62,13.10.83
5509.69,13.10.83
5509.91,13.10.83
5509.92,13.10.83
5509.99,13.10.83
5510.11,13.10.84
5510.12,13.10.84
5510.2,13.10.84
5510.3,13.10.84
5510.9,13.10.84
5511.1,13.10.82
5511.2,13.10.83
5511.3,13.10.84
5512.11,13.20.32
5512.19,13.20.32
5512.21,13.20.32
5512.29,13.20.32
5512.91,13.20.32
5512.99,13.20.32
5513.11,13.20.32
5513.12,13.20.32
5513.13,13.20.32
5513.19,13.20.32
5513.21,13.20.32
5513.29,13.20.32
5513.31,13.20.32
5513.39,13.20.32
5513.41,13.20.32
5513.49,13.20.32
5514.11,13.20.32
5514.12,13.20.32
5514.19,13.20.32
5514.21,13.20.32
5514.22,13.20.32
5514.23,13.20.32
5514.29,13.20.32
5514.3,13.20.32
5514.41,13.20.32
5514.42,13.20.32
5514.43,13.20.32
5514.49,13.20.32
5515.11,13.20.32
5515.12,13.20.32
5515.13,13.20.32
5515.19,13.20.32
5515.21,13.20.32
5515.22,13.20.32
5515.29,13.20.32
5515.91,13.20.32
5515.99,13.20.32
5516.11,13.20.33
5516.12,13.20.33
5516.13,13.20.33
5516.14,13.20.33
5516.21,13.20.33
5516.22,13.20.33
5516.23,13.20.33
5516.24,13.20.33
5516.31,13.20.33
5516.32,13.20.33
5516.33,13.20.33
5516.34,13.20.33
5516.41,13.20.33
5516.42,13.20.33
5516.43,13.20.33
5516.44,13.20.33
5516.91,13.20.33
5516.92,13.20.33
5516.93,13.20.33
5516.94,13.20.33
5601.1,17.22.12
5601.21,17.22.12
5601.22,17.22.12
5601.29,17.22.12
5601.3,13.99.14
5602.1,13.99.13
5602.21,13.99.13
5602.29,13.99.13
5602.9,13.99.13
5603.11,13.95.10
5603.12,13.95.10
5603.13,13.95.10
5603.14,13.95.10
5603.91,13.95.10
5603.92,13.95.10
5603.93,13.95.10
5603.94,13.95.10
5604.1,13.96.13
5604.9,13.96.13
5605,13.96.11
5606,13.99.15
5607.21,13.94.11
5607.29,13.94.11
5607.41,13.94.11
